,artist,album,track_name
92,The Weeknd,Beauty Behind The Madness,Earned It (Fifty Shades Of Grey)
93,Of Monsters and Men,My Head Is An Animal,Little Talks
94,The Lumineers,The Lumineers,Ho Hey
95,Vance Joy,Dream Your Life Away,Riptide
96,George Ezra,Wanted on Voyage,Budapest
97,James Bay,Chaos And The Calm,Hold Back The River
98,Howard Shore,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition),"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
99,Hozier,From Eden EP,From Eden
100,Ed Sheeran,+,Give Me Love
101,Florence + The Machine,"How Big, How Blue, How Beautiful (Deluxe)",Ship To Wreck
102,Gnarls Barkley,St. Elsewhere,Crazy
103,Black Eyed Peas,Elephunk (International Version),Where Is The Love?
104,Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean)
105,Beyoncé,Crazy In Love,Crazy in Love (feat. Jay-Z)
106,Kanye West,Late Registration,Gold Digger
107,The Pussycat Dolls,PCD (Revised International Version),Don't Cha
108,Ciara,Goodies,"One, Two Step (feat. Missy Elliott)"
109,The White Stripes,Elephant,Seven Nation Army
110,Kylie Minogue,Fever (Deluxe Edition),Can't Get You out of My Head
111,Gotye,Making Mirrors,Somebody That I Used To Know
112,Amy Winehouse,Back To Black,Rehab
113,Duffy,Rockferry,Mercy
114,Kevin Lyttle,Turn Me On (Online Music),Turn Me On
115,Sean Paul,The Trinity,Temperature
116,Arctic Monkeys,AM,R U Mine?
117,Eminem,The Marshall Mathers LP,The Real Slim Shady
118,Eminem,The Eminem Show,Without Me
119,Eminem,The Eminem Show,Sing For The Moment
120,Eminem,Recovery,Love The Way You Lie
121,Foo Fighters,In Your Honor,Best of You
122,Hozier,Hozier,Someone New
123,Hozier,Hozier,Take Me To Church
124,Tom Odell,Long Way Down (Deluxe),Another Love
125,Passenger,All The Little Lights,Let Her Go
126,Muse,The Resistance,Uprising
127,Muse,The 2nd Law,Madness
128,Muse,The Resistance,Resistance
129,Knife Party,Rage Valley,Bonfire
130,John Legend,Get Lifted,Ordinary People
131,Maroon 5,Songs About Jane: 10th Anniversary Edition,This Love
132,Maroon 5,Overexposed Track By Track,Payphone
133,Maroon 5,V,Maps
134,Knife Party,100% No Modern Talking,Internet Friends
135,Skrillex,Scary Monsters and Nice Sprites (Deluxe Tour Edition),Scary Monsters and Nice Sprites
136,Zomboy,Reanimated EP,Terror Squad
137,Kill The Noise,BLVCK MVGIC EP,Saturn
138,Flux Pavilion,Lines in Wax,Hold Me Close
139,Craig David,Born to Do It,Walking Away
140,Celldweller,Soundtrack For The Voices In My Head Vol. 02,ShutEmDown
141,Getter,Inner Workings,Dubstep Is Dead
142,Justin Timberlake,FutureSex/LoveSounds,What Goes Around.../...Comes Around (Interlude)
143,Nelly Furtado,Loose,Promiscuous
144,Black Eyed Peas,Monkey Business,My Humps
